Solucao;CustoTotal;TempoTotal;NumAtracoes;NumBairros;HoraInicio;HoraFim;Bairros;Sequencia;TemposChegada;TemposPartida;ModosTransporte
49;26.58;378.00;5;3;09:00;15:18;Centro|Santa Teresa|Saude|;Pedra do Sal|Igreja de Sao Francisco da Penitência|Bondinho de Santa Teresa|Catedral Metropolitana de São Sebastião|Parque das Ruinas|;09:00|10:02|12:08|13:12|14:18|;10:00|12:02|13:08|14:12|15:18|;Car|Walk|Walk|Car|
50;42.33;375.00;5;3;09:00;15:15;Centro|Saude|Santa Teresa|;Parque das Ruinas|Catedral Metropolitana de São Sebastião|Bondinho de Santa Teresa|Pedra do Sal|Igreja de Sao Francisco da Penitência|;09:00|10:05|11:09|12:13|13:15|;10:00|11:05|12:09|13:13|15:15|;Car|Walk|Car|Car|
51;44.73;374.00;5;3;09:00;15:14;Saude|Santa Teresa|Centro|;Catedral Metropolitana de São Sebastião|Bondinho de Santa Teresa|Pedra do Sal|Real Gabinete Portugues Da Leitura|Parque das Ruinas|;09:00|10:04|11:08|12:10|14:14|;10:00|11:04|12:08|14:10|15:14|;Walk|Car|Car|Car|
52;0.00;452.00;4;3;09:00;16:32;Centro|Santa Teresa|Saude|;Pedra do Sal|Centro Cultural Banco do Brasil|Igreja de Sao Francisco da Penitência|Bondinho de Santa Teresa|;09:00|10:15|13:26|15:32|;10:00|13:15|15:26|16:32|;Walk|Walk|Walk|
53;8.63;381.00;4;3;09:00;15:21;Saude|Santa Teresa|Centro|;Catedral Metropolitana de São Sebastião|Bondinho de Santa Teresa|Centro Cultural Banco do Brasil|Pedra do Sal|;09:00|10:04|11:06|14:21|;10:00|11:04|14:06|15:21|;Walk|Car|Walk|
54;24.09;312.00;4;3;09:00;14:12;Centro|Santa Teresa|Saude|;Pedra do Sal|Igreja de Sao Francisco da Penitência|Bondinho de Santa Teresa|Parque das Ruinas|;09:00|10:02|12:08|13:12|;10:00|12:02|13:08|14:12|;Car|Walk|Car|
55;28.21;251.00;4;3;09:00;13:11;Centro|Santa Teresa|Saude|;Pedra do Sal|Catedral Metropolitana de São Sebastião|Bondinho de Santa Teresa|Parque das Ruinas|;09:00|10:03|11:07|12:11|;10:00|11:03|12:07|13:11|;Car|Walk|Car|
56;8.63;317.00;3;3;09:00;14:17;Centro|Saude|Santa Teresa|;Bondinho de Santa Teresa|Centro Cultural Banco do Brasil|Pedra do Sal|;09:00|10:02|13:17|;10:00|13:02|14:17|;Car|Walk|
57;10.71;252.00;3;3;09:00;13:12;Centro|Santa Teresa|Saude|;Pedra do Sal|Real Gabinete Portugues Da Leitura|Bondinho de Santa Teresa|;09:00|10:02|12:12|;10:00|12:02|13:12|;Car|Walk|
58;10.87;248.00;3;3;09:00;13:08;Centro|Santa Teresa|Saude|;Pedra do Sal|Igreja de Sao Francisco da Penitência|Bondinho de Santa Teresa|;09:00|10:02|12:08|;10:00|12:02|13:08|;Car|Walk|
59;14.98;187.00;3;3;09:00;12:07;Centro|Santa Teresa|Saude|;Pedra do Sal|Catedral Metropolitana de São Sebastião|Bondinho de Santa Teresa|;09:00|10:03|11:07|;10:00|11:03|12:07|;Car|Walk|
60;13.00;189.00;3;2;09:00;12:09;Centro|Santa Teresa|;Parque das Ruinas|Catedral Metropolitana de São Sebastião|Bondinho de Santa Teresa|;09:00|10:05|11:09|;10:00|11:05|12:09|;Car|Walk|
61;0.00;124.00;2;2;09:00;11:04;Santa Teresa|Centro|;Catedral Metropolitana de São Sebastião|Bondinho de Santa Teresa|;09:00|10:04|;10:00|11:04|;Walk|
62;14.98;123.00;2;2;09:00;11:03;Centro|Saude|;Pedra do Sal|Catedral Metropolitana de São Sebastião|;09:00|10:03|;10:00|11:03|;Car|
63;0.00;60.00;1;1;09:00;10:00;Centro|;Catedral Metropolitana de São Sebastião|;09:00|;10:00|;
