Solucao;CustoTotal;TempoTotal;NumAtracoes;NumBairros;HoraInicio;HoraFim;Bairros;Sequencia;TemposChegada;TemposPartida;ModosTransporte
11;388.06;623.00;7;6;09:00;19:23;Alto da Boa Vista|Sao Conrado|Sao Cristovao|Santa Teresa|Saude|Centro|;Catedral Metropolitana de São Sebastião|Pedra do Sal|Escadaria Selaron|Mosteiro De Sao Bento|Quinta Da Boa Vista|Pedra Bonita|Vista Chinesa|;09:00|10:06|11:10|12:23|13:48|16:09|18:23|;10:00|11:06|12:10|13:23|15:48|18:09|19:23|;Car|Car|Car|Car|Car|Car|
12;391.15;622.00;7;6;09:00;19:22;Alto da Boa Vista|Sao Conrado|Sao Cristovao|Centro|Saude|Santa Teresa|;Escadaria Selaron|Pedra do Sal|Catedral Metropolitana de São Sebastião|Mosteiro De Sao Bento|Quinta Da Boa Vista|Pedra Bonita|Vista Chinesa|;09:00|10:06|11:09|12:22|13:47|16:08|18:22|;10:00|11:06|12:09|13:22|15:47|18:08|19:22|;Car|Car|Car|Car|Car|Car|
13;182.13;537.00;6;6;09:00;17:57;Alto da Boa Vista|Sao Conrado|Sao Cristovao|Centro|Santa Teresa|Saude|;Pedra do Sal|Escadaria Selaron|Catedral Metropolitana de São Sebastião|Quinta Da Boa Vista|Pedra Bonita|Vista Chinesa|;09:00|10:04|11:14|12:22|14:43|16:57|;10:00|11:04|12:14|14:22|16:43|17:57|;Car|Walk|Car|Car|Car|
14;203.93;532.00;6;6;09:00;17:52;Alto da Boa Vista|Sao Conrado|Sao Cristovao|Centro|Saude|Santa Teresa|;Escadaria Selaron|Pedra do Sal|Catedral Metropolitana de São Sebastião|Quinta Da Boa Vista|Pedra Bonita|Vista Chinesa|;09:00|10:06|11:09|12:17|14:38|16:52|;10:00|11:06|12:09|14:17|16:38|17:52|;Car|Car|Car|Car|Car|
15;166.94;730.00;8;5;09:00;21:10;Sao Conrado|Sao Cristovao|Centro|Saude|Santa Teresa|;Escadaria Selaron|Bondinho de Santa Teresa|Pedra do Sal|Mosteiro De Sao Bento|Museu Historico Nacional|Catedral Metropolitana de São Sebastião|Quinta Da Boa Vista|Pedra Bonita|;09:00|10:11|11:15|12:26|13:36|15:41|16:49|19:10|;10:00|11:11|12:15|13:26|15:36|16:41|18:49|21:10|;Walk|Car|Walk|Walk|Car|Car|Car|
16;188.35;724.00;8;5;09:00;21:04;Sao Conrado|Sao Cristovao|Saude|Santa Teresa|Centro|;Mosteiro De Sao Bento|Museu Historico Nacional|Escadaria Selaron|Catedral Metropolitana de São Sebastião|Pedra do Sal|Bondinho de Santa Teresa|Quinta Da Boa Vista|Pedra Bonita|;09:00|10:10|12:15|13:25|14:31|15:35|16:43|19:04|;10:00|12:10|13:15|14:25|15:31|16:35|18:43|21:04|;Walk|Car|Walk|Car|Car|Car|Car|
17;371.31;681.00;8;5;09:00;20:21;Sao Conrado|Sao Cristovao|Saude|Santa Teresa|Centro|;Catedral Metropolitana de São Sebastião|Parque das Ruinas|Escadaria Selaron|Pedra do Sal|Bondinho de Santa Teresa|Mosteiro De Sao Bento|Quinta Da Boa Vista|Pedra Bonita|;09:00|10:06|11:13|12:19|13:23|14:35|16:00|18:21|;10:00|11:06|12:13|13:19|14:23|15:35|18:00|20:21|;Car|Walk|Car|Car|Car|Car|Car|
18;434.05;639.00;8;5;09:00;19:39;Sao Cristovao|Alto da Boa Vista|Centro|Saude|Santa Teresa|;Bondinho de Santa Teresa|Mosteiro De Sao Bento|Pedra do Sal|Catedral Metropolitana de São Sebastião|Parque das Ruinas|Escadaria Selaron|Vista Chinesa|Quinta Da Boa Vista|;09:00|10:12|11:36|12:39|13:45|14:52|16:17|17:39|;10:00|11:12|12:36|13:39|14:45|15:52|17:17|19:39|;Car|Car|Car|Car|Walk|Car|Car|
19;146.18;718.00;7;5;09:00;20:58;Arpoador|Sao Cristovao|Centro|Santa Teresa|Saude|;Pedra do Sal|Mosteiro De Sao Bento|Museu Historico Nacional|Catedral Metropolitana de São Sebastião|Escadaria Selaron|Quinta Da Boa Vista|Praia do Arpoador|;09:00|10:11|11:21|13:26|14:36|15:44|17:58|;10:00|11:11|13:21|14:26|15:36|17:44|20:58|;Walk|Walk|Car|Walk|Car|Car|
20;146.47;665.00;7;5;09:00;20:05;Sao Conrado|Sao Cristovao|Centro|Santa Teresa|Saude|;Pedra do Sal|Mosteiro De Sao Bento|Museu Historico Nacional|Escadaria Selaron|Catedral Metropolitana de São Sebastião|Quinta Da Boa Vista|Pedra Bonita|;09:00|10:11|11:21|13:26|14:36|15:44|18:05|;10:00|11:11|13:21|14:26|15:36|17:44|20:05|;Walk|Walk|Car|Walk|Car|Car|
